SHIPMENT ID,ORIGIN_CITY,OST,O_ZIP,DEST_CITY,DST,D_ZIP,CLASS,WEIGHT,CUBE,RETAIL SHIPMENT FLAG,LIFTGATE FLAG,Carrier 1,Carrier 2,Carrier 3,Carrier 4,Carrier 5,Carrier 6,Carrier 7,Carrier 8,Carrier 9,Carrier 10,Carrier 11,Carrier 12,Carrier 13,Carrier 14,Carrier 15,Carrier 16
100000810,ST PETERSBURG              ,FL,33702,NAPERVILLE                 ,IL,60540,125,663,97.5, Non-Retail , Non-Liftgate ,$366.48 ,$644.53 ,$254.39 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$909.27 ,$0.00 ,$301.72 ,$0.00 ,$277.29 
100000811,FULTON                     ,MS,38843,CHICAGO                    ,IL,60642,70,115,15.54, Non-Retail , Non-Liftgate ,$279.92 ,$152.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$180.23 ,$0.00 ,$225.71 ,$0.00 ,$197.92 
100000812,DRESDEN                    ,TN,38225,MILWAUKEE                  ,WI,53226,70,369,38.04, Non-Retail , Non-Liftgate ,$247.23 ,$207.24 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$292.36 ,$0.00 ,$282.14 ,$0.00 ,$140.13 
100000813,DRESDEN                    ,TN,38225,RICHMOND                   ,VA,23233,70,595,48.77, Non-Retail , Non-Liftgate ,$249.09 ,$282.92 ,$192.42 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$399.13 ,$508.51 ,$265.29 ,$0.00 ,$139.74 
100000814,DRESDEN                    ,TN,38225,PARAMUS                    ,NJ,07652 ,125,410,63.08, Non-Retail , Liftgate Needed ,$466.82 ,"$2,961.58 ",$620.42 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$571.91 ,$735.40 ,$330.86 ,$0.00 ,$177.39 
100000815,DRESDEN                    ,TN,38225,PASADENA                   ,CA,91105,70,521,67.66, Non-Retail , Liftgate Needed ,$324.75 ,"$4,003.25 ",$456.96 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$634.33 ,$0.00 ,$426.84 ,$0.00 ,$264.63 
100000816,DRESDEN                    ,TN,38225,HOUSTON                    ,TX,77005,150,76,17.27, Non-Retail , Non-Liftgate ,$275.90 ,$152.50 ,$169.83 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$180.23 ,$0.00 ,$293.24 ,$0.00 ,$142.79 
100000817,DRESDEN                    ,TN,38225,NAPERVILLE                 ,IL,60540,70,298,34.65, Non-Retail , Non-Liftgate ,$275.90 ,$177.57 ,$156.06 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$250.51 ,$0.00 ,$265.29 ,$0.00 ,$128.84 
100000818,DRESDEN                    ,TN,38225,LIVERMORE                  ,CA,94551,125,284,45.08, Non-Retail , Non-Liftgate ,$324.75 ,"$3,513.56 ",$374.94 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$588.88 ,$0.00 ,$337.41 ,$0.00 ,$247.20 
100000819,DRESDEN                    ,TN,38225,TRACY                      ,CA,95304,55,"2,486",104.89, Retail , Non-Liftgate ,$851.02 ,"$8,277.24 ",$560.92 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,402.43 ",$0.00 ,"$1,074.19 ",$0.00 ,$558.91 
100000820,DRESDEN                    ,TN,38225,SAN JOSE                   ,CA,95128,70,323,34.73, Non-Retail , Liftgate Needed ,$324.75 ,"$2,429.97 ",$267.39 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$416.93 ,$0.00 ,$410.00 ,$0.00 ,$230.32 
100000821,DRESDEN                    ,TN,38225,ROMEOVILLE                 ,IL,60446,125,715,103.62, Non-Retail , Non-Liftgate ,$275.90 ,$455.69 ,$272.52 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$642.87 ,$0.00 ,$269.42 ,$0.00 ,$196.05 
100000822,OXNARD                     ,CA,93030,TRACY                      ,CA,95304,50,"2,883",72.8, Retail , Non-Liftgate ,$469.60 ,$0.00 ,$314.88 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$211.12 ,$0.00 ,$0.00 ,$508.76 ,"$1,183.92 ",$0.00 ,$895.61 ,$0.00 ,$338.90 
100000823,PORTLAND                   ,OR,97224,TRACY                      ,CA,95304,70,"2,027",155.92, Retail , Non-Liftgate ,$369.76 ,$0.00 ,$253.43 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$277.10 ,$764.57 ,$0.00 ,$645.34 ,$0.00 ,$302.91 
100000824,TUALATIN                   ,OR,97062,TRACY                      ,CA,95304,70,"2,479",190.69, Retail , Non-Liftgate ,$457.50 ,$0.00 ,$314.55 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$334.88 ,$930.16 ,$0.00 ,$724.38 ,$0.00 ,$363.74 
100000825,TUALATIN                   ,OR,97062,TRACY                      ,CA,95304,70,476,46.21, Retail , Non-Liftgate ,$334.84 ,$0.00 ,$169.47 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$159.81 ,$282.18 ,$0.00 ,$500.39 ,$0.00 ,$178.96 
100000826,TRENTON                    ,NJ,08691 ,EAST WINDSOR               ,NJ,08512 ,70,215,25.29, Retail , Non-Liftgate ,$224.39 ,$0.00 ,$121.64 ,$0.00 ,$0.00 ,$0.00 ,$123.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$157.22 ,$157.28 ,$205.07 ,$0.00 ,$126.78 
100000827,GREENCASTLE                ,PA,17225,ROMEOVILLE                 ,IL,60446,70,395,40.72, Non-Retail , Non-Liftgate ,$329.86 ,$205.86 ,$208.57 ,$0.00 ,$0.00 ,$0.00 ,$244.40 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$290.43 ,$248.53 ,$250.27 ,$0.00 ,$0.00 
100000828,TRENTON                    ,NJ,08691 ,EAST WINDSOR               ,NJ,08512 ,70,129,17.43, Retail , Non-Liftgate ,$224.39 ,$0.00 ,$121.64 ,$0.00 ,$0.00 ,$0.00 ,$123.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$157.22 ,$157.28 ,$205.07 ,$0.00 ,$126.78 
100000829,HAGERSTOWN                 ,MD,21740,ROMEOVILLE                 ,IL,60446,70,721,62.7, Non-Retail , Liftgate Needed ,$247.23 ,$319.38 ,$194.32 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$450.57 ,$335.05 ,$250.27 ,$0.00 ,$0.00 
100000830,CLEVELAND                  ,OH,44142,NAPERVILLE                 ,IL,60540,175,"1,013",187.59, Non-Retail , Non-Liftgate ,$294.46 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$781.17 ,$0.00 ,$0.00 ,$728.11 ,$617.36 ,$281.09 ,$0.00 ,$216.36 
100000831,CLEVELAND                  ,OH,44142,ROMEOVILLE                 ,IL,60446,175,611,117.5, Non-Retail , Liftgate Needed ,$244.98 ,$0.00 ,$318.88 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$607.35 ,$0.00 ,$0.00 ,$572.61 ,$485.63 ,$281.09 ,$0.00 ,$170.14 
100000832,CLEVELAND                  ,OH,44142,NAPERVILLE                 ,IL,60540,150,938,173.7, Non-Retail , Liftgate Needed ,$253.78 ,$0.00 ,$264.52 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$691.98 ,$0.00 ,$0.00 ,$644.39 ,$546.47 ,$281.09 ,$0.00 ,$191.47 
100000833,CLEVELAND                  ,OH,44142,ROMEOVILLE                 ,IL,60446,70,549,51.79, Non-Retail , Non-Liftgate ,$244.98 ,$0.00 ,$166.39 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$314.80 ,$0.00 ,$0.00 ,$294.50 ,$249.76 ,$281.09 ,$0.00 ,$125.51 
100000834,CLEVELAND                  ,OH,44142,ROMEOVILLE                 ,IL,60446,70,420,42, Non-Retail , Liftgate Needed ,$292.54 ,$0.00 ,$166.39 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$287.15 ,$0.00 ,$0.00 ,$268.20 ,$248.53 ,$281.09 ,$0.00 ,$125.51 
100000835,CLEVELAND                  ,OH,44149,EAST WINDSOR               ,NJ,08512 ,70,"1,245",98.03, Retail , Non-Liftgate ,$281.54 ,$0.00 ,$241.09 ,$0.00 ,$0.00 ,$0.00 ,$214.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$621.58 ,$338.84 ,$269.86 ,$0.00 ,$150.67 
100000836,SYRACUSE                   ,IN,46567,NAPERVILLE                 ,IL,60540,125,144,25.26, Non-Retail , Non-Liftgate ,$332.61 ,$0.00 ,$105.57 ,$105.50 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$112.87 ,$102.18 ,$0.00 ,$180.23 ,$0.00 ,$251.31 ,$0.00 ,$124.78 
